snapshot_date,income_band,accounts,delinquency_rate,par30_rate,write_off_rate,paid_off_rate,avg_balance
2025-01-01,"10,000-19,999",144,0.2222222222222222,0.09027777777777778,0.0,0.006944444444444444,48575.743055555555
2025-01-01,"100,000-149,999",86,0.1511627906976744,0.09302325581395349,0.011627906976744186,0.0,58239.91860465116
2025-01-01,"150,000+",116,0.13793103448275862,0.0603448275862069,0.008620689655172414,0.008620689655172414,69141.19827586207
2025-01-01,"20,000-29,999",122,0.1557377049180328,0.06557377049180328,0.00819672131147541,0.01639344262295082,49694.19672131148
2025-01-01,"30,000-49,999",136,0.25735294117647056,0.08088235294117647,0.0,0.014705882352941176,51739.80882352941
2025-01-01,"5,000-9,999",53,0.2830188679245283,0.11320754716981132,0.018867924528301886,0.018867924528301886,44871.58490566038
2025-01-01,"50,000-99,999",192,0.15104166666666666,0.0625,0.005208333333333333,0.005208333333333333,59231.630208333336
2025-01-01,"Below 5,000",34,0.20588235294117646,0.08823529411764706,0.0,0.0,51899.94117647059
2025-01-01,Unknown,8052,0.4473422752111277,0.38450074515648286,0.1503974167908594,0.15561351217088923,36448.739535461435
2025-03-30,"10,000-19,999",353,0.37393767705382436,0.23796033994334279,0.0113314447592068,0.019830028328611898,45254.25949008499
2025-03-30,"100,000-149,999",233,0.27467811158798283,0.16738197424892703,0.02145922746781116,0.008583690987124463,55636.30300429185
2025-03-30,"150,000+",418,0.20334928229665072,0.11961722488038277,0.01674641148325359,0.03349282296650718,61466.58612440191
2025-03-30,"20,000-29,999",306,0.3562091503267974,0.20915032679738563,0.00980392156862745,0.013071895424836602,46684.7
2025-03-30,"30,000-49,999",427,0.33021077283372363,0.17330210772833723,0.01639344262295082,0.01405152224824356,53875.98735362998
2025-03-30,"5,000-9,999",157,0.37579617834394907,0.17197452229299362,0.006369426751592357,0.025477707006369428,45792.08280254777
2025-03-30,"50,000-99,999",550,0.30727272727272725,0.17454545454545456,0.01818181818181818,0.01090909090909091,55185.26800000001
2025-03-30,"Below 5,000",84,0.4523809523809524,0.2857142857142857,0.011904761904761904,0.0,46041.67857142857
2025-03-30,Unknown,8496,0.4791666666666667,0.4477401129943503,0.20527306967984935,0.2201035781544256,31389.856032960557
2025-06-30,"10,000-19,999",682,0.3973607038123167,0.27712609970674484,0.05718475073313783,0.024926686217008796,41354.03108504399
2025-06-30,"100,000-149,999",474,0.310126582278481,0.20253164556962025,0.04852320675105485,0.0189873417721519,50094.77637130802
2025-06-30,"150,000+",775,0.26064516129032256,0.17161290322580644,0.05419354838709677,0.03741935483870968,53128.692903225805
2025-06-30,"20,000-29,999",610,0.3639344262295082,0.2639344262295082,0.060655737704918035,0.021311475409836064,42798.28360655738
2025-06-30,"30,000-49,999",804,0.3619402985074627,0.25497512437810943,0.05845771144278607,0.017412935323383085,46776.87810945274
2025-06-30,"5,000-9,999",286,0.44405594405594406,0.2972027972027972,0.03496503496503497,0.027972027972027972,40072.57342657343
2025-06-30,"50,000-99,999",1095,0.31689497716894977,0.2136986301369863,0.047488584474885846,0.0182648401826484,47964.93881278539
2025-06-30,"Below 5,000",126,0.42063492063492064,0.36507936507936506,0.03968253968253968,0.015873015873015872,37885.293650793654
2025-06-30,Unknown,9039,0.48401371833167384,0.4666445403252572,0.23730501161632925,0.304569089501051,27937.750603076238
2025-09-30,"10,000-19,999",1027,0.43135345666991237,0.3222979552093476,0.10905550146056475,0.035053554040895815,36224.110613437195
2025-09-30,"100,000-149,999",720,0.3375,0.25833333333333336,0.075,0.025,44184.48055555556
2025-09-30,"150,000+",1124,0.30782918149466193,0.23487544483985764,0.10320284697508897,0.050711743772241996,45914.665658362996
2025-09-30,"20,000-29,999",912,0.4067982456140351,0.30153508771929827,0.10197368421052631,0.03070175438596491,38089.01096491228
2025-09-30,"30,000-49,999",1208,0.39983443708609273,0.2996688741721854,0.09519867549668874,0.02566225165562914,41231.133278145695
2025-09-30,"5,000-9,999",453,0.445916114790287,0.32671081677704195,0.11699779249448124,0.03532008830022075,34689.176600441504
2025-09-30,"50,000-99,999",1644,0.3637469586374696,0.2761557177615572,0.08333333333333333,0.030413625304136254,42211.76824817518
2025-09-30,"Below 5,000",202,0.4752475247524752,0.33663366336633666,0.07920792079207921,0.0297029702970297,32546.064356435643
2025-09-30,Unknown,9574,0.48391476916649256,0.4691873824942553,0.2500522247754335,0.395132650929601,26097.93721270372
2025-12-30,"10,000-19,999",1451,0.46450723638869745,0.3425223983459683,0.1357684355616816,0.07580978635423846,34418.13549276361
2025-12-30,"100,000-149,999",1100,0.37363636363636366,0.26181818181818184,0.09909090909090909,0.07727272727272727,42276.939090909094
2025-12-30,"150,000+",1652,0.3662227602905569,0.24394673123486682,0.10956416464891042,0.09564164648910412,43641.47167070218
2025-12-30,"20,000-29,999",1319,0.44806671721000757,0.32752084912812734,0.12054586808188021,0.07202426080363912,36391.11296436695
2025-12-30,"30,000-49,999",1772,0.43792325056433407,0.31038374717832956,0.11286681715575621,0.06433408577878104,38506.926636568845
2025-12-30,"5,000-9,999",624,0.47115384615384615,0.34134615384615385,0.1362179487179487,0.07211538461538461,31177.82371794872
2025-12-30,"50,000-99,999",2420,0.41115702479338845,0.2772727272727273,0.10826446280991736,0.07066115702479339,39631.84545454545
2025-12-30,"Below 5,000",271,0.4907749077490775,0.36162361623616235,0.13284132841328414,0.0959409594095941,30291.446494464944
2025-12-30,Unknown,10133,0.485048850291128,0.46649560840817134,0.24790289154248496,0.4485344912661601,25683.499891422365
