snapshot_date,age_band,accounts,delinquency_rate,par30_rate,write_off_rate,paid_off_rate,avg_balance,avg_arrears
2025-01-01,18-25,295,0.23389830508474577,0.09152542372881356,0.023728813559322035,0.04067796610169491,51186.0406779661,8907.741573033707
2025-01-01,26-35,553,0.27124773960216997,0.16817359855334538,0.06148282097649186,0.034358047016274866,53041.104882459316,16431.694736842106
2025-01-01,36-45,172,0.25,0.12790697674418605,0.029069767441860465,0.029069767441860465,55732.476744186046,13098.962962962964
2025-01-01,46-55,36,0.16666666666666666,0.08333333333333333,0.05555555555555555,0.08333333333333333,56240.25,17279.833333333332
2025-01-01,55+,12,0.08333333333333333,0.0,0.0,0.0,54647.416666666664,1415.0
2025-01-01,Unknown,7867,0.44476928943688826,0.38375492563874414,0.14846828524215075,0.15533240116944197,36281.37236206458,18417.057990957343
2025-03-30,18-25,715,0.37902097902097903,0.22377622377622378,0.016783216783216783,0.03076923076923077,50232.30461538462,9105.46822742475
2025-03-30,26-35,1403,0.32430506058446185,0.2052744119743407,0.039201710620099785,0.047042052744119746,51891.853456878125,13023.116666666667
2025-03-30,36-45,452,0.2853982300884956,0.19469026548672566,0.035398230088495575,0.05088495575221239,50931.75265486726,13096.688741721855
2025-03-30,46-55,104,0.2403846153846154,0.10576923076923077,0.028846153846153848,0.07692307692307693,48102.8826923077,9051.620689655172
2025-03-30,55+,29,0.20689655172413793,0.10344827586206896,0.0,0.0,51272.03448275862,5459.888888888889
2025-03-30,Unknown,8321,0.4785482514120899,0.44610022833794016,0.20382165605095542,0.2155990866482394,31461.06769230769,23944.840769903763
2025-06-30,18-25,1301,0.3927747886241353,0.27747886241352804,0.061491160645657184,0.0415065334358186,44188.191083781705,12660.259005145797
2025-06-30,26-35,2695,0.33877551020408164,0.23970315398886827,0.05862708719851577,0.0575139146567718,45871.09591685225,15210.479274116522
2025-06-30,36-45,851,0.29612220916568743,0.21269095182138661,0.05875440658049354,0.07520564042303172,43709.81621621622,15810.687719298247
2025-06-30,46-55,215,0.25116279069767444,0.16744186046511628,0.05581395348837209,0.09767441860465116,40574.196279069765,10858.11343283582
2025-06-30,55+,48,0.22916666666666666,0.14583333333333334,0.041666666666666664,0.08333333333333333,37893.104166666664,11172.07142857143
2025-06-30,Unknown,8781,0.489010363284364,0.47101696845461793,0.23892495160004557,0.29233572486049425,28389.873872437354,28632.922325657357
2025-09-30,18-25,1845,0.421680216802168,0.3181571815718157,0.10298102981029811,0.05907859078590786,37973.07154471545,16810.529411764706
2025-09-30,26-35,4092,0.3721896383186706,0.2844574780058651,0.10092864125122189,0.06671554252199413,40306.12461500855,18666.819460726845
2025-09-30,36-45,1344,0.32663690476190477,0.2425595238095238,0.08556547619047619,0.08258928571428571,39297.66369047619,18508.251521298174
2025-09-30,46-55,362,0.26243093922651933,0.20441988950276244,0.0718232044198895,0.11602209944751381,36731.61602209945,15147.091743119267
2025-09-30,55+,71,0.3380281690140845,0.23943661971830985,0.09859154929577464,0.11267605633802817,33141.112676056335,14202.724137931034
2025-09-30,Unknown,9150,0.4979234972677596,0.48218579234972675,0.2556284153005465,0.3805464480874317,26586.83637556017,31237.84502055011
2025-12-30,18-25,2458,0.4641985353946298,0.3315703824247356,0.12489829129373474,0.09072416598860862,35531.535394629784,17775.947122861588
2025-12-30,26-35,6041,0.41648733653368647,0.2943221320973349,0.11968217182585665,0.10478397616288694,38317.04897350993,19020.978701477157
2025-12-30,36-45,2005,0.3630922693266833,0.25486284289276806,0.09725685785536159,0.12169576059850375,37501.557605985035,18216.201612903227
2025-12-30,46-55,557,0.32854578096947934,0.22980251346499103,0.08617594254937164,0.14183123877917414,35350.56732495512,14649.238095238095
2025-12-30,55+,114,0.34210526315789475,0.2543859649122807,0.12280701754385964,0.19298245614035087,32748.929824561405,16434.85106382979
2025-12-30,Unknown,9567,0.5003658409114665,0.4827009511863698,0.25650674192536843,0.43357374307515417,26255.69740748484,31916.971070544554
