snapshot_date,risk_category,accounts,balance,avg_dpd,avg_arrears
2025-01-01,Critical,2834,144689926.0,219.26676076217362,31777.387711864405
2025-01-01,High,339,16408825.0,42.53392330383481,8459.921212121211
2025-01-01,Medium,348,15269742.0,16.735632183908045,3466.7959770114944
2025-01-01,Low,5414,165718799.0,0.15293683043960105,2306.807612095933
2025-03-30,Critical,3800,188799135.0,255.15105263157895,35708.693178825386
2025-03-30,High,484,22596994.6,41.146694214876035,8753.293617021276
2025-03-30,Medium,398,18371419.2,17.532663316582916,4309.236180904522
2025-03-30,Low,6342,170219643.59999993,0.11447492904446546,3596.7213666987486
2025-06-30,Critical,4910,238994462.2,289.67209775967416,38568.698675361724
2025-06-30,High,499,23675146.0,40.256513026052104,8693.903846153846
2025-06-30,Medium,428,21289467.0,17.985981308411215,4834.464953271028
2025-06-30,Low,8054,194108961.19999996,0.09833623044449963,3722.423316062176
2025-09-30,Critical,6075,292169100.2,325.66370370370373,39679.43011036073
2025-09-30,High,549,25259272.0,40.93806921675774,8643.307839388146
2025-09-30,Medium,495,21096684.0,17.472727272727273,3957.5292929292928
2025-09-30,Low,9745,208136506.6,0.08804515135967163,3118.5579207920796
2025-12-30,Critical,7239,341159259.20000005,361.6158309158724,39786.57680718728
2025-12-30,High,655,27030646.0,43.6412213740458,8806.276758409786
2025-12-30,Medium,646,28767033.0,16.769349845201237,4382.007739938081
2025-12-30,Low,12202,271590820.0,0.18095394197672512,2464.348349633252
